episode,slot,cloudlet_id,cpu_util,ram_util,queue_util,is_critical,action,latency_s,energy_j,reward
0,0,0,0.039549,0.058011,0.039549,0,0,0.211682,0.846339,-0.172819
0,0,1,0.0,0.0,0.0,0,0,0.211682,0.846339,-0.172819
0,0,2,0.0,0.0,0.0,0,0,0.211682,0.846339,-0.172819
0,0,3,0.0,0.0,0.0,0,0,0.211682,0.846339,-0.172819
0,0,4,0.0,0.0,0.0,0,0,0.211682,0.846339,-0.172819
0,0,5,0.0,0.0,0.0,0,0,0.211682,0.846339,-0.172819
0,1,0,0.036781,0.053951,0.036781,0,1,0.218422,0.871578,-0.181663
0,1,1,0.03427,0.019375,0.03427,0,1,0.218422,0.871578,-0.181663
0,1,2,0.0,0.0,0.0,0,1,0.218422,0.871578,-0.181663
0,1,3,0.0,0.0,0.0,0,1,0.218422,0.871578,-0.181663
0,1,4,0.0,0.0,0.0,0,1,0.218422,0.871578,-0.181663
0,1,5,0.0,0.0,0.0,0,1,0.218422,0.871578,-0.181663
0,2,0,0.034206,0.050174,0.034206,0,2,0.177812,2.036451,-0.207034
0,2,1,0.031872,0.018019,0.031872,0,2,0.177812,2.036451,-0.207034
0,2,2,0.11625,0.029063,0.11625,0,2,0.177812,2.036451,-0.207034
0,2,3,0.0,0.0,0.0,0,2,0.177812,2.036451,-0.207034
0,2,4,0.0,0.0,0.0,0,2,0.177812,2.036451,-0.207034
0,2,5,0.0,0.0,0.0,0,2,0.177812,2.036451,-0.207034
0,3,0,0.031812,0.046662,0.031812,0,3,0.119334,0.452324,-0.157332
0,3,1,0.029641,0.016757,0.029641,0,3,0.119334,0.452324,-0.157332
0,3,2,0.108113,0.027028,0.108113,0,3,0.119334,0.452324,-0.157332
0,3,3,0.03875,0.077538,0.03875,0,3,0.119334,0.452324,-0.157332
0,3,4,0.0,0.0,0.0,0,3,0.119334,0.452324,-0.157332
0,3,5,0.0,0.0,0.0,0,3,0.119334,0.452324,-0.157332
0,4,0,0.029585,0.043396,0.029585,0,4,0.207422,2.0093,-0.256788
0,4,1,0.027566,0.015584,0.027566,0,4,0.207422,2.0093,-0.256788
0,4,2,0.100545,0.025136,0.100545,0,4,0.207422,2.0093,-0.256788
0,4,3,0.036038,0.07211,0.036038,0,4,0.207422,2.0093,-0.256788
0,4,4,0.162114,0.136003,0.162114,0,4,0.207422,2.0093,-0.256788
0,4,5,0.0,0.0,0.0,0,4,0.207422,2.0093,-0.256788
0,5,0,0.027514,0.040358,0.027514,0,5,0.251365,0.857418,-0.264397
0,5,1,0.025636,0.014494,0.025636,0,5,0.251365,0.857418,-0.264397
0,5,2,0.093507,0.023377,0.093507,0,5,0.251365,0.857418,-0.264397
0,5,3,0.033515,0.067062,0.033515,0,5,0.251365,0.857418,-0.264397
0,5,4,0.150766,0.126483,0.150766,0,5,0.251365,0.857418,-0.264397
0,5,5,0.058125,0.290625,0.058125,0,5,0.251365,0.857418,-0.264397
0,6,0,0.025588,0.037533,0.025588,0,6,1.496394,0.613801,-6.087639
0,6,1,0.023842,0.013479,0.023842,0,6,1.496394,0.613801,-6.087639
0,6,2,0.086961,0.02174,0.086961,0,6,1.496394,0.613801,-6.087639
0,6,3,0.031169,0.062368,0.031169,0,6,1.496394,0.613801,-6.087639
0,6,4,0.140213,0.117629,0.140213,0,6,1.496394,0.613801,-6.087639
0,6,5,0.054056,0.270281,0.054056,0,6,1.496394,0.613801,-6.087639
0,7,0,0.052859,0.049437,0.052859,0,0,0.155548,0.612603,-0.181855
0,7,1,0.022173,0.012535,0.022173,0,0,0.155548,0.612603,-0.181855
0,7,2,0.080874,0.020218,0.080874,0,0,0.155548,0.612603,-0.181855
0,7,3,0.028987,0.058002,0.028987,0,0,0.155548,0.612603,-0.181855
0,7,4,0.130398,0.109395,0.130398,0,0,0.155548,0.612603,-0.181855
0,7,5,0.050272,0.251362,0.050272,0,0,0.155548,0.612603,-0.181855
0,8,0,0.049159,0.045976,0.049159,0,1,0.141083,0.552067,-0.158903
0,8,1,0.049995,0.031033,0.049995,0,1,0.141083,0.552067,-0.158903
0,8,2,0.075213,0.018803,0.075213,0,1,0.141083,0.552067,-0.158903
0,8,3,0.026958,0.053942,0.026958,0,1,0.141083,0.552067,-0.158903
0,8,4,0.12127,0.101738,0.12127,0,1,0.141083,0.552067,-0.158903
0,8,5,0.046753,0.233766,0.046753,0,1,0.141083,0.552067,-0.158903
0,9,0,0.045718,0.042758,0.045718,0,2,0.243948,2.711799,-0.242979
0,9,1,0.046496,0.028861,0.046496,0,2,0.243948,2.711799,-0.242979
0,9,2,0.12268,0.075612,0.12268,0,2,0.243948,2.711799,-0.242979
0,9,3,0.025071,0.050166,0.025071,0,2,0.243948,2.711799,-0.242979
0,9,4,0.112781,0.094616,0.112781,0,2,0.243948,2.711799,-0.242979
0,9,5,0.043481,0.217403,0.043481,0,2,0.243948,2.711799,-0.242979
0,10,0,0.042518,0.039765,0.042518,0,3,0.242333,2.686585,-0.247789
0,10,1,0.043241,0.02684,0.043241,0,3,0.242333,2.686585,-0.247789
0,10,2,0.114093,0.070319,0.114093,0,3,0.242333,2.686585,-0.247789
0,10,3,0.139566,0.191967,0.139566,0,3,0.242333,2.686585,-0.247789
0,10,4,0.104886,0.087993,0.104886,0,3,0.242333,2.686585,-0.247789
0,10,5,0.040437,0.202184,0.040437,0,3,0.242333,2.686585,-0.247789
0,11,0,0.039542,0.036981,0.039542,0,4,0.298971,2.352596,-0.378163
0,11,1,0.040214,0.024962,0.040214,0,4,0.298971,2.352596,-0.378163
0,11,2,0.106106,0.065397,0.106106,0,4,0.298971,2.352596,-0.378163
0,11,3,0.129796,0.178529,0.129796,0,4,0.298971,2.352596,-0.378163
0,11,4,0.271919,0.372458,0.271919,0,4,0.298971,2.352596,-0.378163
0,11,5,0.037606,0.188032,0.037606,0,4,0.298971,2.352596,-0.378163
0,12,0,0.036774,0.034393,0.036774,0,5,0.335123,2.777677,-0.379285
0,12,1,0.037399,0.023214,0.037399,0,5,0.335123,2.777677,-0.379285
0,12,2,0.098679,0.060819,0.098679,0,5,0.335123,2.777677,-0.379285
0,12,3,0.120711,0.166032,0.120711,0,5,0.335123,2.777677,-0.379285
0,12,4,0.252885,0.346386,0.252885,0,5,0.335123,2.777677,-0.379285
0,12,5,0.125908,0.285897,0.125908,0,5,0.335123,2.777677,-0.379285
0,13,0,0.0342,0.031985,0.0342,0,6,2.700528,1.231663,-6.945311
0,13,1,0.034781,0.021589,0.034781,0,6,2.700528,1.231663,-6.945311
0,13,2,0.091771,0.056562,0.091771,0,6,2.700528,1.231663,-6.945311
0,13,3,0.112261,0.15441,0.112261,0,6,2.700528,1.231663,-6.945311
0,13,4,0.235183,0.322139,0.235183,0,6,2.700528,1.231663,-6.945311
0,13,5,0.117094,0.265884,0.117094,0,6,2.700528,1.231663,-6.945311
0,14,0,0.071355,0.058809,0.071355,0,0,0.188159,0.732595,-0.248764
0,14,1,0.032346,0.020078,0.032346,0,0,0.188159,0.732595,-0.248764
0,14,2,0.085347,0.052602,0.085347,0,0,0.188159,0.732595,-0.248764
0,14,3,0.104403,0.143601,0.104403,0,0,0.188159,0.732595,-0.248764
0,14,4,0.21872,0.29959,0.21872,0,0,0.188159,0.732595,-0.248764
0,14,5,0.108898,0.247272,0.108898,0,0,0.188159,0.732595,-0.248764
0,15,0,0.06636,0.054692,0.06636,0,1,0.208957,0.814703,-0.236644
0,15,1,0.085426,0.038048,0.085426,0,1,0.208957,0.814703,-0.236644
0,15,2,0.079373,0.04892,0.079373,0,1,0.208957,0.814703,-0.236644
0,15,3,0.097094,0.133549,0.097094,0,1,0.208957,0.814703,-0.236644
0,15,4,0.20341,0.278618,0.20341,0,1,0.208957,0.814703,-0.236644
0,15,5,0.101275,0.229963,0.101275,0,1,0.208957,0.814703,-0.236644
0,16,0,0.061715,0.050864,0.061715,0,2,0.134741,1.236164,-0.181674
0,16,1,0.079446,0.035384,0.079446,0,2,0.134741,1.236164,-0.181674
0,16,2,0.137959,0.074558,0.137959,0,2,0.134741,1.236164,-0.181674
0,16,3,0.090298,0.124201,0.090298,0,2,0.134741,1.236164,-0.181674
0,16,4,0.189171,0.259115,0.189171,0,2,0.134741,1.236164,-0.181674
0,16,5,0.094186,0.213866,0.094186,0,2,0.134741,1.236164,-0.181674
0,17,0,0.057395,0.047303,0.057395,0,3,0.166575,1.609768,-0.196098
0,17,1,0.073885,0.032907,0.073885,0,3,0.166575,1.609768,-0.196098
0,17,2,0.128302,0.069339,0.128302,0,3,0.166575,1.609768,-0.196098
0,17,3,0.122727,0.193045,0.122727,0,3,0.166575,1.609768,-0.196098
0,17,4,0.175929,0.240977,0.175929,0,3,0.166575,1.609768,-0.196098
0,17,5,0.087593,0.198895,0.087593,0,3,0.166575,1.609768,-0.196098
0,18,0,0.053377,0.043992,0.053377,0,4,0.435002,2.6576,-0.408816
0,18,1,0.068713,0.030604,0.068713,0,4,0.435002,2.6576,-0.408816
0,18,2,0.11932,0.064485,0.11932,0,4,0.435002,2.6576,-0.408816
0,18,3,0.114136,0.179531,0.114136,0,4,0.435002,2.6576,-0.408816
0,18,4,0.221739,0.417783,0.221739,0,4,0.435002,2.6576,-0.408816
0,18,5,0.081461,0.184973,0.081461,0,4,0.435002,2.6576,-0.408816
0,19,0,0.049641,0.040913,0.049641,0,5,0.358465,1.739081,-0.348608
0,19,1,0.063903,0.028462,0.063903,0,5,0.358465,1.739081,-0.348608
0,19,2,0.110968,0.059971,0.110968,0,5,0.358465,1.739081,-0.348608
0,19,3,0.106147,0.166964,0.106147,0,5,0.358465,1.739081,-0.348608
0,19,4,0.206217,0.388538,0.206217,0,5,0.358465,1.739081,-0.348608
0,19,5,0.133884,0.23015,0.133884,0,5,0.358465,1.739081,-0.348608
0,20,0,0.046166,0.038049,0.046166,0,6,1.299763,0.545569,-0.968466
0,20,1,0.05943,0.026469,0.05943,0,6,1.299763,0.545569,-0.968466
0,20,2,0.1032,0.055773,0.1032,0,6,1.299763,0.545569,-0.968466
0,20,3,0.098716,0.155277,0.098716,0,6,1.299763,0.545569,-0.968466
0,20,4,0.191782,0.36134,0.191782,0,6,1.299763,0.545569,-0.968466
0,20,5,0.124512,0.214039,0.124512,0,6,1.299763,0.545569,-0.968466
0,21,0,0.071997,0.049916,0.071997,0,0,0.229662,0.884556,-0.237518
0,21,1,0.05527,0.024616,0.05527,0,0,0.229662,0.884556,-0.237518
0,21,2,0.095976,0.051869,0.095976,0,0,0.229662,0.884556,-0.237518
0,21,3,0.091806,0.144407,0.091806,0,0,0.229662,0.884556,-0.237518
0,21,4,0.178357,0.336047,0.178357,0,0,0.229662,0.884556,-0.237518
0,21,5,0.115796,0.199056,0.115796,0,0,0.229662,0.884556,-0.237518
0,22,0,0.066957,0.046422,0.066957,0,1,0.206767,2.328329,-0.204611
0,22,1,0.106489,0.042268,0.106489,0,1,0.206767,2.328329,-0.204611
0,22,2,0.089258,0.048238,0.089258,0,1,0.206767,2.328329,-0.204611
0,22,3,0.08538,0.134299,0.08538,0,1,0.206767,2.328329,-0.204611
0,22,4,0.165872,0.312523,0.165872,0,1,0.206767,2.328329,-0.204611
0,22,5,0.10769,0.185122,0.10769,0,1,0.206767,2.328329,-0.204611
0,23,0,0.06227,0.043173,0.06227,0,2,0.218326,2.010426,-0.208977
0,23,1,0.099035,0.039309,0.099035,0,2,0.218326,2.010426,-0.208977
0,23,2,0.12176,0.1224,0.12176,0,2,0.218326,2.010426,-0.208977
0,23,3,0.079403,0.124898,0.079403,0,2,0.218326,2.010426,-0.208977
0,23,4,0.154261,0.290647,0.154261,0,2,0.218326,2.010426,-0.208977
0,23,5,0.100152,0.172164,0.100152,0,2,0.218326,2.010426,-0.208977
0,24,0,0.057911,0.040151,0.057911,0,3,0.225241,2.086909,-0.206225
0,24,1,0.092102,0.036558,0.092102,0,3,0.225241,2.086909,-0.206225
0,24,2,0.113237,0.113832,0.113237,0,3,0.225241,2.086909,-0.206225
0,24,3,0.112595,0.212992,0.112595,0,3,0.225241,2.086909,-0.206225
0,24,4,0.143463,0.270301,0.143463,0,3,0.225241,2.086909,-0.206225
0,24,5,0.093141,0.160112,0.093141,0,3,0.225241,2.086909,-0.206225
0,25,0,0.053857,0.03734,0.053857,0,4,0.606171,2.257378,-0.495425
0,25,1,0.085655,0.033999,0.085655,0,4,0.606171,2.257378,-0.495425
0,25,2,0.10531,0.105863,0.10531,0,4,0.606171,2.257378,-0.495425
0,25,3,0.104713,0.198083,0.104713,0,4,0.606171,2.257378,-0.495425
0,25,4,0.191546,0.406456,0.191546,0,4,0.606171,2.257378,-0.495425
0,25,5,0.086621,0.148905,0.086621,0,4,0.606171,2.257378,-0.495425
0,26,0,0.050087,0.034726,0.050087,0,5,0.61679,2.378019,-0.499973
0,26,1,0.079659,0.031619,0.079659,0,5,0.61679,2.378019,-0.499973
0,26,2,0.097938,0.098453,0.097938,0,5,0.61679,2.378019,-0.499973
0,26,3,0.097383,0.184217,0.097383,0,5,0.61679,2.378019,-0.499973
0,26,4,0.178137,0.378004,0.178137,0,5,0.61679,2.378019,-0.499973
0,26,5,0.138683,0.196606,0.138683,0,5,0.61679,2.378019,-0.499973
0,27,0,0.046581,0.032295,0.046581,0,6,2.302882,1.046272,-9.11782
0,27,1,0.074083,0.029406,0.074083,0,6,2.302882,1.046272,-9.11782
0,27,2,0.091083,0.091561,0.091083,0,6,2.302882,1.046272,-9.11782
0,27,3,0.090566,0.171322,0.090566,0,6,2.302882,1.046272,-9.11782
0,27,4,0.165668,0.351544,0.165668,0,6,2.302882,1.046272,-9.11782
0,27,5,0.128975,0.182844,0.128975,0,6,2.302882,1.046272,-9.11782
0,28,0,0.130508,0.102691,0.130508,0,0,0.119703,1.242294,-0.144338
0,28,1,0.068897,0.027347,0.068897,0,0,0.119703,1.242294,-0.144338
0,28,2,0.084707,0.085152,0.084707,0,0,0.119703,1.242294,-0.144338
0,28,3,0.084227,0.159329,0.084227,0,0,0.119703,1.242294,-0.144338
0,28,4,0.154071,0.326936,0.154071,0,0,0.119703,1.242294,-0.144338
0,28,5,0.119947,0.170045,0.119947,0,0,0.119703,1.242294,-0.144338
0,29,0,0.121372,0.095503,0.121372,0,1,0.20551,2.259412,-0.186387
0,29,1,0.108094,0.044808,0.108094,0,1,0.20551,2.259412,-0.186387
0,29,2,0.078777,0.079191,0.078777,0,1,0.20551,2.259412,-0.186387
0,29,3,0.078331,0.148176,0.078331,0,1,0.20551,2.259412,-0.186387
0,29,4,0.143286,0.30405,0.143286,0,1,0.20551,2.259412,-0.186387
0,29,5,0.111551,0.158142,0.111551,0,1,0.20551,2.259412,-0.186387
0,30,0,0.112876,0.088817,0.112876,0,2,0.193625,1.456214,-0.167956
0,30,1,0.100527,0.041671,0.100527,0,2,0.193625,1.456214,-0.167956
0,30,2,0.112013,0.10271,0.112013,0,2,0.193625,1.456214,-0.167956
0,30,3,0.072848,0.137804,0.072848,0,2,0.193625,1.456214,-0.167956
0,30,4,0.133256,0.282767,0.133256,0,2,0.193625,1.456214,-0.167956
0,30,5,0.103742,0.147072,0.103742,0,2,0.193625,1.456214,-0.167956
0,31,0,0.104975,0.0826,0.104975,0,3,0.302388,2.747039,-0.222483
0,31,1,0.09349,0.038754,0.09349,0,3,0.302388,2.747039,-0.222483
0,31,2,0.104172,0.095521,0.104172,0,3,0.302388,2.747039,-0.222483
0,31,3,0.106498,0.16721,0.106498,0,3,0.302388,2.747039,-0.222483
0,31,4,0.123928,0.262973,0.123928,0,3,0.302388,2.747039,-0.222483
0,31,5,0.09648,0.136777,0.09648,0,3,0.302388,2.747039,-0.222483
0,32,0,0.097627,0.076818,0.097627,0,4,1.022278,1.767347,-0.749058
0,32,1,0.086946,0.036042,0.086946,0,4,1.022278,1.767347,-0.749058
0,32,2,0.09688,0.088834,0.09688,0,4,1.022278,1.767347,-0.749058
0,32,3,0.099044,0.155506,0.099044,0,4,1.022278,1.767347,-0.749058
0,32,4,0.177493,0.30269,0.177493,0,4,1.022278,1.767347,-0.749058
0,32,5,0.089727,0.127202,0.089727,0,4,1.022278,1.767347,-0.749058
0,33,0,0.090793,0.071441,0.090793,0,5,1.068952,2.317878,-0.784222
0,33,1,0.08086,0.033519,0.08086,0,5,1.068952,2.317878,-0.784222
0,33,2,0.090098,0.082616,0.090098,0,5,1.068952,2.317878,-0.784222
0,33,3,0.092111,0.14462,0.092111,0,5,1.068952,2.317878,-0.784222
0,33,4,0.165069,0.281502,0.165069,0,5,1.068952,2.317878,-0.784222
0,33,5,0.15122,0.344895,0.15122,0,5,1.068952,2.317878,-0.784222
0,34,0,0.084437,0.06644,0.084437,0,6,1.287721,0.501117,-0.925057
0,34,1,0.0752,0.031172,0.0752,0,6,1.287721,0.501117,-0.925057
0,34,2,0.083792,0.076833,0.083792,0,6,1.287721,0.501117,-0.925057
0,34,3,0.085663,0.134497,0.085663,0,6,1.287721,0.501117,-0.925057
0,34,4,0.153514,0.261797,0.153514,0,6,1.287721,0.501117,-0.925057
0,34,5,0.140635,0.320752,0.140635,0,6,1.287721,0.501117,-0.925057
0,35,0,0.107589,0.090483,0.107589,0,0,0.214003,2.310069,-0.202387
