episode,slot,cloudlet_id,cpu_util,ram_util,queue_util,is_critical,action,latency_s,energy_j,reward
0,0,0,0.039549,0.058011,0.039549,0,0,0.211682,0.846339,-0.181216
0,0,1,0.0,0.0,0.0,0,0,0.211682,0.846339,-0.181216
0,0,2,0.0,0.0,0.0,0,0,0.211682,0.846339,-0.181216
0,1,0,0.036781,0.053951,0.036781,0,1,0.222479,0.871578,-0.190851
0,1,1,0.045694,0.029063,0.045694,0,1,0.222479,0.871578,-0.190851
0,1,2,0.0,0.0,0.0,0,1,0.222479,0.871578,-0.190851
0,2,0,0.034206,0.050174,0.034206,0,2,0.209699,2.036451,-0.277889
0,2,1,0.042495,0.027028,0.042495,0,2,0.209699,2.036451,-0.277889
0,2,2,0.174375,0.058125,0.174375,0,2,0.209699,2.036451,-0.277889
0,3,0,0.031812,0.046662,0.031812,0,3,1.457168,0.59427,-1.099869
0,3,1,0.039521,0.025136,0.039521,0,3,1.457168,0.59427,-1.099869
0,3,2,0.162169,0.054056,0.162169,0,3,1.457168,0.59427,-1.099869
0,4,0,0.110642,0.077396,0.110642,0,0,0.172626,2.0093,-0.216674
0,4,1,0.036754,0.023377,0.036754,0,0,0.172626,2.0093,-0.216674
0,4,2,0.150817,0.050272,0.150817,0,0,0.172626,2.0093,-0.216674
0,5,0,0.102897,0.071979,0.102897,0,1,0.228471,0.857418,-0.211544
0,5,1,0.072931,0.167053,0.072931,0,1,0.228471,0.857418,-0.211544
0,5,2,0.14026,0.046753,0.14026,0,1,0.228471,0.857418,-0.211544
0,6,0,0.095694,0.06694,0.095694,0,2,0.217153,1.377065,-0.318764
0,6,1,0.067826,0.155359,0.067826,0,2,0.217153,1.377065,-0.318764
0,6,2,0.251687,0.101606,0.251687,0,2,0.217153,1.377065,-0.318764
0,7,0,0.088996,0.062254,0.088996,0,3,1.843351,0.804846,-8.890717
0,7,1,0.063078,0.144484,0.063078,0,3,1.843351,0.804846,-8.890717
0,7,2,0.234069,0.094493,0.234069,0,3,1.843351,0.804846,-8.890717
0,8,0,0.112141,0.072428,0.112141,0,0,0.14353,1.62724,-0.237772
0,8,1,0.058663,0.13437,0.058663,0,0,0.14353,1.62724,-0.237772
0,8,2,0.217684,0.087879,0.217684,0,0,0.14353,1.62724,-0.237772
0,9,0,0.104291,0.067358,0.104291,0,1,0.258504,2.711799,-0.270358
0,9,1,0.107289,0.183089,0.107289,0,1,0.258504,2.711799,-0.270358
0,9,2,0.202446,0.081727,0.202446,0,1,0.258504,2.711799,-0.270358
0,10,0,0.096991,0.062643,0.096991,0,2,0.437434,2.686585,-0.559538
0,10,1,0.099779,0.170273,0.099779,0,2,0.437434,2.686585,-0.559538
0,10,2,0.36265,0.366631,0.36265,0,2,0.437434,2.686585,-0.559538
0,11,0,0.090201,0.058258,0.090201,0,3,2.310056,1.048627,-6.789199
0,11,1,0.092794,0.158354,0.092794,0,3,2.310056,1.048627,-6.789199
0,11,2,0.337264,0.340967,0.337264,0,3,2.310056,1.048627,-6.789199
0,12,0,0.129354,0.081937,0.129354,0,0,0.243955,2.777677,-0.374697
0,12,1,0.086299,0.147269,0.086299,0,0,0.243955,2.777677,-0.374697
0,12,2,0.313656,0.317099,0.313656,0,0,0.243955,2.777677,-0.374697
0,13,0,0.120299,0.076201,0.120299,0,1,0.281465,2.763237,-0.362063
0,13,1,0.119008,0.166023,0.119008,0,1,0.281465,2.763237,-0.362063
0,13,2,0.2917,0.294902,0.2917,0,1,0.281465,2.763237,-0.362063
0,14,0,0.111878,0.070867,0.111878,0,2,0.59795,2.159353,-0.641031
0,14,1,0.110677,0.154401,0.110677,0,2,0.59795,2.159353,-0.641031
0,14,2,0.35038,0.390509,0.35038,0,2,0.59795,2.159353,-0.641031
0,15,0,0.104047,0.065906,0.104047,0,3,2.351273,1.070367,-6.792945
0,15,1,0.10293,0.143593,0.10293,0,3,2.351273,1.070367,-6.792945
0,15,2,0.325853,0.363174,0.325853,0,3,2.351273,1.070367,-6.792945
0,16,0,0.14487,0.075824,0.14487,0,0,0.119189,1.236164,-0.269681
0,16,1,0.095725,0.133542,0.095725,0,0,0.119189,1.236164,-0.269681
0,16,2,0.303043,0.337751,0.303043,0,0,0.119189,1.236164,-0.269681
