episode,reward,drop_rate,avg_lat,avg_eng,loss
119,-84.5186,0.005,0.2688,1.8672,16.428958
120,-71.0789,0.0,0.2373,1.8982,12.132027
121,-74.9347,0.005,0.2552,1.9072,15.342304
122,-75.0516,0.0,0.2398,1.8618,12.205743
123,-73.3374,0.0,0.2354,1.8563,12.779017
124,-71.9966,0.0,0.2365,1.8814,13.804247
125,-85.9494,0.01,0.233,1.8644,13.348994
126,-74.9061,0.005,0.253,1.8904,15.676145
127,-70.5763,0.0,0.2323,1.8363,13.667063
128,-77.3751,0.005,0.2446,1.8152,16.811139
129,-64.4487,0.0,0.253,1.8874,15.299639
130,-55.1006,0.0,0.2622,1.8497,15.893507
131,-70.7959,0.01,0.252,1.8967,17.637539
132,-74.3897,0.005,0.2612,1.9323,11.630754
133,-67.2513,0.005,0.2667,1.9086,15.71695
134,-63.5519,0.005,0.2692,1.9119,15.855592
135,-65.648,0.005,0.2832,1.9398,14.890396
136,-58.9624,0.0,0.2909,1.923,11.497127
137,-58.5133,0.0,0.2848,1.9198,11.881535
138,-69.2724,0.005,0.2956,1.977,13.36801
139,-64.7791,0.0,0.2912,1.9454,12.537607
140,-68.747,0.0,0.2935,1.9379,13.140136
141,-63.738,0.0,0.2606,1.8391,11.87481
142,-69.4821,0.005,0.2677,1.9483,12.864609
143,-71.9894,0.005,0.2467,1.902,11.137123
144,-74.4782,0.005,0.25,1.9312,12.732113
145,-72.5424,0.0,0.2443,1.8904,12.453122
146,-62.8739,0.0,0.2436,1.909,11.041353
147,-61.8327,0.0,0.2478,1.8865,11.642205
148,-75.166,0.0,0.2391,1.9348,13.488439
149,-70.0846,0.0,0.2447,1.915,11.877714
150,-75.4496,0.0,0.2477,1.9953,12.587267
151,-84.6991,0.005,0.2395,1.8613,16.098009
152,-84.7238,0.0,0.2262,1.8231,15.87073
153,-92.5728,0.01,0.2375,1.903,18.94147
154,-72.198,0.0,0.2516,1.9818,15.134013
155,-69.2238,0.005,0.2556,1.9086,15.472063
156,-64.3813,0.0,0.2514,1.879,14.994471
157,-66.9339,0.005,0.2587,1.9208,17.34454
158,-68.1381,0.005,0.2553,1.8873,15.922549
159,-63.3093,0.0,0.2509,1.8834,13.493471
160,-63.8603,0.0,0.2607,1.9482,12.637965
161,-63.6495,0.0,0.2522,1.8443,11.577973
162,-73.5366,0.005,0.2552,1.8877,12.132319
163,-69.2761,0.005,0.2558,1.9118,13.823117
164,-74.4923,0.0,0.2478,1.8965,12.896642
165,-86.6435,0.005,0.245,1.8489,15.707096
166,-81.9114,0.005,0.2456,1.8241,14.663656
167,-74.3524,0.005,0.2588,1.888,15.025215
168,-85.54,0.01,0.2532,1.8182,13.274708
169,-75.9018,0.005,0.2476,1.9138,17.843369
170,-62.3495,0.0,0.2767,1.8598,15.474003
171,-58.3486,0.0,0.274,1.9235,14.584144
172,-66.176,0.005,0.2719,1.8853,12.816081
173,-64.8566,0.0,0.2567,1.9019,14.056366
174,-65.0346,0.005,0.2812,1.9609,13.580347
175,-60.9183,0.0,0.272,1.9435,11.594536
176,-64.4452,0.005,0.279,1.8706,13.0963
177,-58.1462,0.0,0.2555,1.8773,10.542641
178,-61.7447,0.0,0.2611,1.9144,10.01555
179,-63.4981,0.005,0.2689,1.914,12.438613
180,-54.6964,0.0,0.2776,1.9195,9.73308
181,-58.4906,0.0,0.2949,1.926,9.953651
182,-60.7638,0.0,0.2669,1.8835,9.886758
183,-62.296,0.0,0.2941,1.931,10.381751
184,-71.6293,0.005,0.2952,1.8486,10.938717
185,-64.2456,0.005,0.2849,1.9317,10.301045
186,-58.9209,0.0,0.2772,1.9556,10.052248
187,-62.385,0.0,0.2707,1.8915,9.36595
188,-69.3525,0.005,0.2751,1.9453,10.657248
189,-59.5532,0.0,0.2638,1.9829,9.299315
190,-65.1372,0.0,0.2487,1.8826,10.494589
191,-65.8484,0.0,0.2638,1.8843,10.003247
192,-61.2517,0.0,0.2822,1.8842,9.913423
193,-64.6861,0.0,0.2577,1.9007,11.019526
194,-66.6933,0.0,0.262,1.9045,9.638596
195,-59.3589,0.0,0.2642,1.9521,9.173263
196,-74.421,0.005,0.2427,1.8695,14.517359
