episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
351,-919.5154,0.625,1.0804,1.4266,61.443764,0.01,10000,0.11,0.405,0.075,0.41
352,-667.1211,0.485,0.6992,1.6077,57.803047,0.01,10000,0.24,0.2,0.37,0.19
353,-781.3503,0.555,0.93,1.4948,61.195953,0.01,10000,0.265,0.11,0.275,0.35
354,-797.4597,0.55,0.9051,1.5663,56.477259,0.01,10000,0.165,0.39,0.135,0.31
355,-790.5203,0.555,0.8739,1.5192,65.967037,0.01,10000,0.25,0.225,0.215,0.31
356,-732.7211,0.495,0.8544,1.5269,65.892438,0.01,10000,0.195,0.26,0.25,0.295
357,-808.9829,0.57,1.0121,1.4764,60.77964,0.01,10000,0.2,0.27,0.16,0.37
358,-781.9426,0.57,0.8132,1.6211,66.761257,0.01,10000,0.135,0.155,0.46,0.25
359,-804.094,0.58,0.7461,1.6523,60.222669,0.01,10000,0.105,0.18,0.515,0.2
360,-684.8022,0.485,0.7563,1.6305,64.326539,0.01,10000,0.125,0.2,0.45,0.225
361,-785.219,0.56,0.6979,1.7499,55.866774,0.01,10000,0.03,0.2,0.615,0.155
362,-738.3749,0.55,0.6329,1.8371,84.580942,0.01,10000,0.09,0.055,0.725,0.13
363,-781.9288,0.57,0.7875,1.7099,61.430284,0.01,10000,0.185,0.175,0.42,0.22
364,-774.2783,0.545,0.8499,1.5911,59.137828,0.01,10000,0.275,0.195,0.25,0.28
365,-731.5153,0.535,0.5431,1.7668,65.684951,0.01,10000,0.065,0.01,0.84,0.085
366,-765.6544,0.56,0.4339,1.9981,56.931792,0.01,10000,0.01,0.0,0.99,0.0
367,-837.4743,0.595,0.5406,1.892,56.536628,0.01,10000,0.06,0.05,0.82,0.07
368,-761.3603,0.575,0.5147,1.8886,55.877176,0.01,10000,0.04,0.085,0.83,0.045
369,-793.4871,0.59,0.7749,1.5575,69.302434,0.01,10000,0.105,0.17,0.485,0.24
370,-726.8764,0.525,0.6152,1.7835,54.422685,0.01,10000,0.135,0.23,0.525,0.11
371,-720.7081,0.525,0.7548,1.6116,61.733134,0.01,10000,0.33,0.31,0.13,0.23
372,-719.697,0.5,0.7668,1.6183,55.657316,0.01,10000,0.255,0.485,0.005,0.255
373,-735.1924,0.55,0.5179,1.8493,60.590385,0.01,10000,0.16,0.085,0.675,0.08
374,-819.5482,0.6,0.5066,1.8497,55.278884,0.01,10000,0.025,0.025,0.9,0.05
375,-787.1961,0.59,0.5046,1.8973,59.009326,0.01,10000,0.045,0.075,0.835,0.045
376,-751.2657,0.56,0.6002,1.8,49.992215,0.01,10000,0.105,0.125,0.65,0.12
377,-802.3041,0.59,0.5696,1.8231,45.040207,0.01,10000,0.065,0.075,0.775,0.085
378,-764.0379,0.55,0.7641,1.6578,63.413335,0.01,10000,0.125,0.125,0.525,0.225
379,-761.8066,0.57,0.4349,1.9687,63.940361,0.01,10000,0.015,0.0,0.98,0.005
380,-746.1789,0.535,0.6357,1.7198,52.166407,0.01,10000,0.07,0.075,0.72,0.135
381,-800.6929,0.595,0.7085,1.7124,58.751264,0.01,10000,0.14,0.055,0.635,0.17
382,-841.7356,0.58,0.9796,1.4362,67.489682,0.01,10000,0.155,0.365,0.12,0.36
383,-832.2697,0.585,0.9698,1.427,67.836694,0.01,10000,0.195,0.245,0.18,0.38
384,-803.9405,0.575,0.8296,1.5303,48.679989,0.01,10000,0.195,0.465,0.055,0.285
385,-706.3643,0.5,0.8452,1.5684,81.501959,0.01,10000,0.325,0.29,0.08,0.305
386,-835.5442,0.59,0.9623,1.5001,51.002364,0.01,10000,0.265,0.375,0.0,0.36
387,-641.8844,0.46,0.7612,1.6857,64.434324,0.01,10000,0.35,0.395,0.01,0.245
388,-733.7457,0.51,0.8722,1.5597,60.270826,0.01,10000,0.25,0.445,0.005,0.3
389,-689.4722,0.49,0.7954,1.6456,58.588073,0.01,10000,0.33,0.415,0.0,0.255
390,-738.6851,0.52,0.9086,1.5137,59.19474,0.01,10000,0.31,0.335,0.01,0.345
391,-756.5814,0.535,1.0046,1.4935,59.363558,0.01,10000,0.245,0.315,0.07,0.37
392,-817.3464,0.57,1.0159,1.4272,67.435329,0.01,10000,0.22,0.335,0.055,0.39
393,-736.1002,0.51,0.9716,1.5455,50.406475,0.01,10000,0.27,0.325,0.045,0.36
394,-736.3877,0.535,0.7755,1.5764,64.501128,0.01,10000,0.19,0.26,0.315,0.235
395,-705.3274,0.5,0.8837,1.5232,57.34183,0.01,10000,0.3,0.205,0.17,0.325
396,-828.7041,0.6,0.9862,1.412,53.925195,0.01,10000,0.255,0.25,0.115,0.38
397,-844.6042,0.58,1.1105,1.3636,52.686727,0.01,10000,0.205,0.335,0.01,0.45
398,-805.2685,0.585,0.8129,1.5895,64.229689,0.01,10000,0.18,0.285,0.28,0.255
399,-834.2447,0.565,1.0224,1.4645,62.450811,0.01,10000,0.245,0.26,0.105,0.39
400,-797.3337,0.57,0.8582,1.5721,55.320389,0.01,10000,0.165,0.18,0.37,0.285
401,-721.4983,0.515,0.8308,1.6654,67.08041,0.01,10000,0.205,0.215,0.33,0.25
402,-840.4073,0.58,1.1218,1.3962,64.032619,0.01,10000,0.185,0.21,0.16,0.445
403,-903.3423,0.655,0.7582,1.7513,63.041317,0.01,10000,0.03,0.085,0.675,0.21
404,-715.3003,0.505,0.944,1.4654,55.632328,0.01,10000,0.16,0.18,0.325,0.335
405,-805.6948,0.565,0.9972,1.4927,48.978665,0.01,10000,0.215,0.25,0.17,0.365
406,-764.2391,0.51,1.0031,1.5274,59.646734,0.01,10000,0.235,0.36,0.05,0.355
407,-782.4329,0.555,0.8523,1.5948,67.762733,0.01,10000,0.12,0.17,0.45,0.26
408,-780.7365,0.55,0.7475,1.7313,64.91457,0.01,10000,0.19,0.245,0.37,0.195
409,-733.2153,0.52,0.7967,1.5857,64.979528,0.01,10000,0.155,0.15,0.45,0.245
410,-781.0825,0.56,0.8331,1.6069,57.778426,0.01,10000,0.155,0.205,0.365,0.275
411,-826.748,0.585,0.7637,1.7343,72.708811,0.01,10000,0.095,0.15,0.545,0.21
412,-776.2645,0.55,0.883,1.5535,79.916488,0.01,10000,0.17,0.395,0.13,0.305
413,-762.9851,0.555,0.8369,1.6009,60.797434,0.01,10000,0.2,0.48,0.065,0.255
414,-763.3809,0.56,0.8358,1.5383,65.376455,0.01,10000,0.225,0.21,0.28,0.285
415,-725.8087,0.505,0.8038,1.5895,52.563579,0.01,10000,0.16,0.2,0.4,0.24
416,-769.3219,0.535,0.9251,1.5091,59.244168,0.01,10000,0.135,0.295,0.25,0.32
417,-781.6585,0.56,0.9081,1.4991,56.141058,0.01,10000,0.245,0.36,0.07,0.325
418,-786.2049,0.54,1.0262,1.4069,75.991817,0.01,10000,0.175,0.265,0.165,0.395
419,-845.0462,0.59,1.06,1.4429,64.489944,0.01,10000,0.13,0.27,0.215,0.385
420,-684.8439,0.485,0.858,1.5619,61.233434,0.01,10000,0.195,0.335,0.195,0.275
421,-754.2072,0.505,0.9655,1.3472,53.356094,0.01,10000,0.24,0.295,0.075,0.39
422,-770.6164,0.55,0.8617,1.567,64.311363,0.01,10000,0.22,0.235,0.245,0.3
423,-785.5273,0.535,1.0069,1.4537,55.249103,0.01,10000,0.175,0.295,0.16,0.37
424,-804.1741,0.58,0.9078,1.6021,62.907707,0.01,10000,0.185,0.475,0.03,0.31
425,-786.7362,0.53,1.0863,1.3935,57.012781,0.01,10000,0.16,0.305,0.11,0.425
426,-810.9419,0.595,0.9545,1.5331,63.627043,0.01,10000,0.27,0.25,0.13,0.35
427,-801.0132,0.575,0.9582,1.4304,65.357212,0.01,10000,0.155,0.315,0.175,0.355
428,-852.3093,0.58,1.0783,1.5001,73.233436,0.01,10000,0.235,0.255,0.095,0.415
429,-812.4769,0.555,1.087,1.4475,49.263294,0.01,10000,0.175,0.295,0.12,0.41
430,-687.9926,0.49,0.699,1.6812,55.26698,0.01,10000,0.27,0.07,0.47,0.19
431,-730.8826,0.51,1.0328,1.4423,74.703965,0.01,10000,0.23,0.235,0.15,0.385
432,-766.2584,0.535,0.9575,1.4963,60.408715,0.01,10000,0.235,0.29,0.105,0.37
433,-806.704,0.585,0.9127,1.567,64.106566,0.01,10000,0.11,0.305,0.28,0.305
434,-721.6697,0.535,0.6874,1.7459,67.648921,0.01,10000,0.1,0.115,0.62,0.165
435,-870.3955,0.615,1.0413,1.4662,63.037507,0.01,10000,0.12,0.175,0.315,0.39
436,-800.973,0.565,0.8659,1.5637,76.495483,0.01,10000,0.195,0.145,0.365,0.295
437,-768.2046,0.54,0.7697,1.6301,55.149127,0.01,10000,0.185,0.325,0.27,0.22
438,-823.2403,0.615,0.79,1.6541,63.776455,0.01,10000,0.06,0.145,0.565,0.23
439,-806.3425,0.585,0.7508,1.6982,58.445641,0.01,10000,0.07,0.155,0.585,0.19
440,-821.7329,0.59,0.8502,1.6157,56.529457,0.01,10000,0.045,0.075,0.61,0.27
441,-798.4446,0.58,0.7259,1.7032,64.868867,0.01,10000,0.07,0.155,0.585,0.19
442,-815.3961,0.56,0.9591,1.5437,68.740635,0.01,10000,0.15,0.32,0.205,0.325
443,-750.3332,0.55,0.6415,1.7413,72.412706,0.01,10000,0.08,0.06,0.735,0.125
444,-761.2313,0.555,0.6691,1.7359,64.983484,0.01,10000,0.08,0.05,0.725,0.145
445,-743.6184,0.525,0.9552,1.4687,59.896008,0.01,10000,0.205,0.205,0.23,0.36
446,-798.9673,0.575,0.9936,1.3682,65.407493,0.01,10000,0.2,0.34,0.065,0.395
447,-810.3435,0.56,0.9183,1.5862,76.685603,0.01,10000,0.225,0.24,0.205,0.33
448,-814.7602,0.585,0.6853,1.7777,70.130608,0.01,10000,0.055,0.05,0.745,0.15
449,-756.4642,0.535,0.9437,1.5188,63.359259,0.01,10000,0.145,0.21,0.3,0.345
450,-819.2858,0.57,1.0115,1.4493,68.164592,0.01,10000,0.235,0.31,0.08,0.375
451,-816.1797,0.56,1.0331,1.4116,81.019847,0.01,10000,0.23,0.295,0.065,0.41
452,-826.3943,0.59,0.9337,1.4688,74.411786,0.01,10000,0.185,0.38,0.1,0.335
453,-877.5799,0.595,1.0802,1.4619,68.855716,0.01,10000,0.2,0.155,0.24,0.405
454,-749.1667,0.505,1.0106,1.4631,56.549198,0.01,10000,0.22,0.38,0.02,0.38
455,-813.5374,0.57,1.0107,1.4883,58.863542,0.01,10000,0.155,0.265,0.215,0.365
456,-781.3791,0.55,1.0144,1.3884,58.603203,0.01,10000,0.235,0.35,0.005,0.41
457,-755.9598,0.53,0.8832,1.5516,62.30492,0.01,10000,0.255,0.385,0.055,0.305
458,-852.0871,0.62,0.832,1.6341,69.384378,0.01,10000,0.11,0.09,0.525,0.275
459,-702.5431,0.49,0.8632,1.4786,52.915314,0.01,10000,0.255,0.3,0.14,0.305
460,-773.527,0.555,0.9136,1.489,67.73537,0.01,10000,0.235,0.405,0.015,0.345
461,-731.0578,0.505,0.9483,1.4353,67.307747,0.01,10000,0.255,0.235,0.165,0.345
462,-732.108,0.54,0.7306,1.6474,68.102123,0.01,10000,0.19,0.155,0.445,0.21
463,-776.8079,0.545,0.9028,1.5278,69.686931,0.01,10000,0.195,0.47,0.0,0.335
464,-729.464,0.5,0.8918,1.5953,65.702929,0.01,10000,0.275,0.395,0.01,0.32
465,-899.261,0.615,1.0651,1.4616,53.805173,0.01,10000,0.14,0.185,0.265,0.41
466,-723.7362,0.5,0.9844,1.4666,67.387416,0.01,10000,0.335,0.255,0.03,0.38
467,-759.3494,0.545,0.9597,1.5141,65.12996,0.01,10000,0.3,0.315,0.025,0.36
468,-668.541,0.47,0.809,1.6046,57.014582,0.01,10000,0.295,0.405,0.02,0.28
469,-792.5452,0.555,0.8382,1.6163,66.053747,0.01,10000,0.155,0.18,0.41,0.255
470,-796.9674,0.56,0.9786,1.4733,52.948036,0.01,10000,0.19,0.38,0.085,0.345
471,-762.4398,0.55,0.9314,1.435,70.489983,0.01,10000,0.27,0.31,0.055,0.365
472,-676.1807,0.46,0.8272,1.6276,75.383389,0.01,10000,0.345,0.34,0.025,0.29
473,-706.0108,0.485,0.9395,1.5758,53.133726,0.01,10000,0.305,0.32,0.035,0.34
474,-812.4955,0.585,1.0073,1.4889,75.524755,0.01,10000,0.265,0.265,0.085,0.385
475,-767.4728,0.53,0.8715,1.5487,70.907368,0.01,10000,0.24,0.44,0.005,0.315
476,-758.4484,0.535,0.8813,1.6194,67.613626,0.01,10000,0.34,0.34,0.005,0.315
477,-744.1541,0.51,0.9685,1.51,61.627279,0.01,10000,0.23,0.415,0.005,0.35
478,-738.0417,0.545,0.8339,1.5959,62.333504,0.01,10000,0.4,0.26,0.055,0.285
479,-762.4687,0.55,0.8029,1.6291,70.090052,0.01,10000,0.29,0.145,0.295,0.27
480,-729.06,0.51,0.8522,1.5698,63.567565,0.01,10000,0.355,0.25,0.11,0.285
481,-716.7484,0.52,0.7233,1.6071,64.504026,0.01,10000,0.365,0.335,0.075,0.225
482,-734.7209,0.51,0.9938,1.5095,58.317521,0.01,10000,0.3,0.24,0.09,0.37
483,-737.0897,0.525,0.9057,1.5482,60.872045,0.01,10000,0.305,0.15,0.215,0.33
484,-749.4193,0.545,0.7197,1.6618,72.142299,0.01,10000,0.455,0.26,0.05,0.235
485,-697.6031,0.51,0.6481,1.6895,57.816404,0.01,10000,0.455,0.225,0.13,0.19
486,-794.6991,0.57,0.8966,1.5612,60.299224,0.01,10000,0.35,0.225,0.11,0.315
487,-809.9777,0.585,0.8971,1.501,56.589376,0.01,10000,0.305,0.195,0.18,0.32
488,-836.5877,0.605,0.944,1.5433,50.37927,0.01,10000,0.235,0.17,0.26,0.335
489,-807.5971,0.585,0.8303,1.5495,66.433935,0.01,10000,0.375,0.145,0.19,0.29
490,-738.0632,0.53,0.8152,1.5514,55.878905,0.01,10000,0.34,0.255,0.125,0.28
491,-806.1542,0.595,0.9404,1.5609,46.417926,0.01,10000,0.29,0.205,0.17,0.335
492,-883.265,0.63,1.0784,1.424,55.045944,0.01,10000,0.265,0.12,0.195,0.42
493,-886.0385,0.65,0.9895,1.4366,46.617815,0.01,10000,0.255,0.215,0.14,0.39
494,-792.9349,0.58,0.9115,1.5692,48.709525,0.01,10000,0.265,0.22,0.195,0.32
495,-727.6889,0.535,0.9282,1.5059,57.226394,0.01,10000,0.28,0.235,0.14,0.345
496,-801.1029,0.565,0.9048,1.5322,55.794988,0.01,10000,0.195,0.19,0.295,0.32
497,-744.8012,0.535,0.8241,1.6566,53.493278,0.01,10000,0.265,0.235,0.24,0.26
498,-851.0959,0.615,0.938,1.5168,54.24515,0.01,10000,0.255,0.12,0.27,0.355
499,-608.5239,0.44,0.6401,1.7278,57.105464,0.01,10000,0.41,0.32,0.095,0.175
500,-678.7948,0.51,0.6676,1.659,54.349036,0.01,10000,0.345,0.34,0.12,0.195
