episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
63,-112.6088,0.03,0.3345,1.8619,0.73036,0.0983,12600,0.515,0.265,0.19,0.03
64,-118.9482,0.035,0.3191,1.8673,0.729276,0.0944,12800,0.51,0.265,0.2,0.025
65,-104.6237,0.025,0.3393,1.9811,0.727897,0.0907,13000,0.5,0.27,0.205,0.025
66,-117.55,0.03,0.3408,1.9104,0.727724,0.0871,13200,0.475,0.295,0.2,0.03
67,-90.2276,0.015,0.3342,1.8978,0.72671,0.0837,13400,0.465,0.295,0.23,0.01
68,-110.9476,0.03,0.3055,1.9594,0.726406,0.0804,13600,0.625,0.215,0.13,0.03
69,-88.8462,0.01,0.3093,1.9208,0.725676,0.0773,13800,0.59,0.26,0.145,0.005
70,-125.9728,0.04,0.3204,1.8664,0.7242,0.0743,14000,0.505,0.265,0.21,0.02
71,-104.855,0.025,0.3331,1.8776,0.724924,0.0713,14200,0.47,0.305,0.21,0.015
72,-118.1676,0.04,0.3237,1.8698,0.726213,0.0685,14400,0.54,0.24,0.195,0.025
73,-93.8112,0.02,0.3441,2.0735,0.727626,0.0659,14600,0.5,0.315,0.17,0.015
74,-84.4648,0.015,0.3291,1.9309,0.729061,0.0633,14800,0.5,0.29,0.2,0.01
75,-86.4087,0.02,0.3302,1.846,0.728775,0.0608,15000,0.475,0.305,0.205,0.015
76,-79.9119,0.01,0.3457,1.9436,0.726971,0.0584,15200,0.495,0.315,0.175,0.015
77,-87.1048,0.015,0.3258,1.9586,0.725801,0.0561,15400,0.52,0.26,0.21,0.01
78,-89.0504,0.015,0.3244,1.9312,0.724562,0.0539,15600,0.515,0.27,0.205,0.01
79,-109.4378,0.03,0.3345,1.8766,0.7241,0.0518,15800,0.495,0.27,0.21,0.025
80,-103.7644,0.025,0.3337,1.9523,0.723422,0.0498,16000,0.505,0.28,0.19,0.025
81,-98.5424,0.02,0.3188,1.9132,0.722951,0.0478,16200,0.565,0.26,0.155,0.02
82,-94.1611,0.015,0.3288,1.891,0.723348,0.0459,16400,0.52,0.295,0.17,0.015
83,-90.7499,0.02,0.3048,1.8502,0.723461,0.0441,16600,0.575,0.25,0.165,0.01
84,-79.491,0.01,0.3073,1.9146,0.722846,0.0424,16800,0.61,0.245,0.135,0.01
85,-91.8177,0.015,0.3157,1.9601,0.72227,0.0407,17000,0.585,0.235,0.165,0.015
86,-97.2118,0.015,0.3221,1.9114,0.722136,0.0392,17200,0.565,0.28,0.14,0.015
87,-73.4496,0.005,0.3289,1.8876,0.722076,0.0376,17400,0.535,0.265,0.19,0.01
88,-72.1457,0.005,0.3281,1.9199,0.722761,0.0361,17600,0.515,0.31,0.175,0.0
89,-98.8073,0.025,0.3168,1.9185,0.722889,0.0347,17800,0.545,0.27,0.165,0.02
90,-83.6922,0.015,0.3129,1.9396,0.722164,0.0334,18000,0.555,0.235,0.2,0.01
91,-79.2572,0.005,0.3163,1.9416,0.722103,0.0321,18200,0.575,0.29,0.135,0.0
92,-98.602,0.02,0.3142,1.9336,0.722803,0.0308,18400,0.555,0.26,0.18,0.005
93,-74.5432,0.005,0.3092,1.9622,0.721439,0.0296,18600,0.58,0.225,0.195,0.0
94,-75.396,0.005,0.3168,1.9418,0.720391,0.0284,18800,0.57,0.275,0.155,0.0
95,-90.7229,0.015,0.3122,1.94,0.718722,0.0273,19000,0.58,0.255,0.165,0.0
96,-105.0004,0.03,0.3188,1.8679,0.718252,0.0262,19200,0.525,0.29,0.16,0.025
97,-84.4968,0.01,0.341,1.9601,0.717952,0.0252,19400,0.51,0.27,0.205,0.015
98,-79.0276,0.01,0.3243,1.978,0.717915,0.0242,19600,0.56,0.26,0.17,0.01
99,-86.5454,0.015,0.3241,1.9463,0.71762,0.0233,19800,0.525,0.28,0.19,0.005
100,-88.55,0.015,0.3203,1.9437,0.716848,0.0224,20000,0.545,0.265,0.18,0.01
101,-75.3124,0.005,0.3291,2.0291,0.715903,0.0215,20200,0.535,0.265,0.2,0.0
102,-89.5603,0.015,0.3203,1.9591,0.714847,0.0206,20400,0.535,0.245,0.21,0.01
103,-88.6725,0.015,0.3338,1.9322,0.715188,0.0198,20600,0.48,0.295,0.22,0.005
104,-75.4463,0.005,0.3334,1.8691,0.715398,0.0191,20800,0.45,0.28,0.27,0.0
105,-92.2473,0.02,0.3151,1.9224,0.714524,0.0183,21000,0.555,0.27,0.165,0.01
106,-75.6686,0.005,0.2989,1.943,0.713762,0.0176,21200,0.61,0.195,0.195,0.0
107,-80.0591,0.01,0.3306,1.951,0.712974,0.0169,21400,0.505,0.28,0.21,0.005
108,-79.5137,0.01,0.3006,1.8313,0.712424,0.0162,21600,0.575,0.23,0.195,0.0
109,-75.4348,0.005,0.3062,1.9158,0.712822,0.0156,21800,0.59,0.245,0.165,0.0
110,-89.104,0.02,0.3268,1.9984,0.712485,0.015,22000,0.5,0.255,0.24,0.005
111,-77.2597,0.01,0.3318,1.9435,0.712023,0.0144,22200,0.48,0.265,0.25,0.005
112,-90.8188,0.015,0.3407,1.9876,0.711984,0.0138,22400,0.465,0.285,0.245,0.005
113,-76.6699,0.01,0.2985,1.9336,0.712879,0.0133,22600,0.615,0.2,0.18,0.005
114,-70.3068,0.005,0.3252,1.9115,0.713107,0.0128,22800,0.51,0.28,0.21,0.0
115,-75.0313,0.005,0.309,1.8959,0.713642,0.0123,23000,0.57,0.245,0.185,0.0
116,-90.3044,0.015,0.3251,1.9602,0.713639,0.0118,23200,0.52,0.285,0.19,0.005
117,-71.5678,0.005,0.3117,1.9583,0.712938,0.0113,23400,0.585,0.255,0.16,0.0
118,-82.613,0.01,0.3265,1.8969,0.713014,0.0109,23600,0.53,0.26,0.2,0.01
119,-84.7934,0.015,0.3171,1.9133,0.712605,0.0105,23800,0.54,0.255,0.2,0.005
120,-91.3781,0.015,0.3079,1.956,0.711776,0.01,24000,0.59,0.245,0.16,0.005
121,-84.0188,0.015,0.3256,1.9467,0.711763,0.01,24200,0.505,0.245,0.245,0.005
122,-81.6389,0.01,0.3152,1.9361,0.710724,0.01,24400,0.545,0.245,0.21,0.0
123,-80.9434,0.01,0.2941,1.9093,0.709817,0.01,24600,0.61,0.22,0.17,0.0
124,-75.2795,0.005,0.3116,1.9371,0.709125,0.01,24800,0.57,0.24,0.19,0.0
125,-73.6948,0.005,0.341,1.9339,0.708476,0.01,25000,0.475,0.29,0.23,0.005
126,-80.0677,0.01,0.3206,1.9289,0.708443,0.01,25200,0.525,0.265,0.21,0.0
127,-72.724,0.005,0.3028,1.8918,0.70785,0.01,25400,0.6,0.25,0.15,0.0
128,-74.7222,0.005,0.303,1.8813,0.707534,0.01,25600,0.58,0.21,0.21,0.0
129,-74.8603,0.005,0.3209,1.9111,0.707188,0.01,25800,0.52,0.245,0.235,0.0
130,-78.0304,0.01,0.3118,1.8588,0.706569,0.01,26000,0.555,0.29,0.155,0.0
131,-77.0266,0.01,0.3132,1.9181,0.705487,0.01,26200,0.565,0.215,0.215,0.005
132,-79.8363,0.01,0.3233,1.9679,0.705045,0.01,26400,0.53,0.26,0.205,0.005
133,-72.3732,0.005,0.3245,1.9403,0.704067,0.01,26600,0.52,0.285,0.195,0.0
134,-69.6374,0.005,0.3139,1.9689,0.703452,0.01,26800,0.57,0.235,0.195,0.0
135,-78.6901,0.01,0.3242,1.9716,0.703335,0.01,27000,0.54,0.275,0.18,0.005
136,-79.5359,0.01,0.3084,1.9322,0.702928,0.01,27200,0.59,0.21,0.195,0.005
137,-79.6942,0.01,0.3149,1.9273,0.702319,0.01,27400,0.55,0.235,0.215,0.0
138,-73.0224,0.005,0.3214,1.996,0.701739,0.01,27600,0.55,0.245,0.205,0.0
139,-70.6575,0.005,0.3208,1.9536,0.701842,0.01,27800,0.52,0.22,0.26,0.0
140,-75.5592,0.005,0.314,1.9565,0.700929,0.01,28000,0.56,0.24,0.2,0.0
141,-73.513,0.005,0.3113,1.8825,0.699972,0.01,28200,0.55,0.25,0.2,0.0
