policy,drop_rate_mean,drop_rate_std,success_rate_mean,throughput_mean,avg_lat_mean,avg_lat_std,avg_eng_mean,avg_eng_std,resource_util_mean,jfi_mean,jfi_std,imbalance_mean,imbalance_std,n_seeds
DRL-LSTM-LBRO,0.0062,0.0025,0.9938,198.77,0.2605,0.0042,1.9512,0.0317,0.2442,0.8774,0.0222,0.2988,0.0106,3
Ablation: no LSTM,0.0077,0.0043,0.9923,198.47,0.2824,0.0052,1.9386,0.0329,0.2404,0.8228,0.0399,0.2327,0.0149,3
LBRO [Nayyer 2022],0.0266,0.0121,0.9734,194.68,0.3402,0.0044,1.9013,0.0358,0.2474,0.9969,0.0014,0.0914,0.0112,3
DeepRM [Mao 2016],0.019,0.0085,0.981,196.2,0.3354,0.0058,1.9171,0.0321,0.2475,0.99,0.0044,0.1108,0.0117,3
DRL-EdgeLB [Liu 22],0.0434,0.0152,0.9566,191.32,0.3499,0.0047,1.8689,0.0412,0.2471,0.9991,0.0004,0.0565,0.0101,3
MADRL-MEC [Zhao 22],0.0203,0.01,0.9797,195.93,0.3357,0.0057,1.9136,0.0345,0.2471,0.9906,0.004,0.109,0.0113,3
Pred-LB [2025],0.057,0.017,0.943,188.6,0.3482,0.0053,1.8453,0.0482,0.2431,0.9995,0.0003,0.0556,0.0131,3
