episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
63,-80.7404,0.01,0.2924,1.82,0.40216,0.0983,12600,0.29,0.305,0.135,0.1
64,-84.6115,0.015,0.2852,1.7574,0.399957,0.0944,12800,0.285,0.32,0.13,0.13
65,-114.2628,0.035,0.2934,1.8581,0.398049,0.0907,13000,0.275,0.32,0.115,0.14
66,-106.0529,0.02,0.3011,1.7779,0.396521,0.0871,13200,0.425,0.145,0.145,0.11
67,-99.2616,0.02,0.3006,1.8125,0.394876,0.0837,13400,0.245,0.295,0.15,0.145
68,-85.7934,0.015,0.3032,1.8351,0.393647,0.0804,13600,0.29,0.285,0.15,0.145
69,-84.1185,0.01,0.3214,1.7978,0.393044,0.0773,13800,0.265,0.225,0.185,0.17
70,-103.3928,0.03,0.2948,1.7659,0.392065,0.0743,14000,0.305,0.265,0.125,0.175
71,-79.1277,0.005,0.3069,1.8157,0.391123,0.0713,14200,0.23,0.29,0.19,0.14
72,-104.2146,0.025,0.3171,1.8191,0.389583,0.0685,14400,0.29,0.2,0.16,0.18
73,-100.0783,0.02,0.3324,1.9348,0.388071,0.0659,14600,0.235,0.27,0.18,0.15
74,-94.884,0.02,0.3041,1.824,0.386477,0.0633,14800,0.26,0.285,0.145,0.155
75,-90.1722,0.02,0.2888,1.7349,0.385052,0.0608,15000,0.23,0.355,0.125,0.135
76,-91.103,0.02,0.2956,1.8498,0.383532,0.0584,15200,0.245,0.35,0.165,0.14
77,-85.2571,0.01,0.3056,1.8378,0.38236,0.0561,15400,0.255,0.29,0.135,0.135
78,-99.1473,0.02,0.3003,1.8101,0.381101,0.0539,15600,0.2,0.345,0.15,0.115
79,-109.2526,0.03,0.3138,1.7995,0.380374,0.0518,15800,0.195,0.305,0.135,0.175
80,-85.0985,0.01,0.3117,1.8211,0.379709,0.0498,16000,0.265,0.28,0.135,0.16
81,-91.652,0.015,0.3025,1.8155,0.378832,0.0478,16200,0.235,0.325,0.13,0.18
82,-90.7202,0.015,0.2862,1.7718,0.377645,0.0459,16400,0.275,0.325,0.12,0.13
83,-75.8239,0.01,0.2961,1.7595,0.376585,0.0441,16600,0.23,0.325,0.17,0.11
84,-78.0031,0.01,0.293,1.8321,0.375251,0.0424,16800,0.265,0.325,0.115,0.165
85,-87.2521,0.015,0.3094,1.8876,0.373981,0.0407,17000,0.245,0.31,0.125,0.16
86,-99.0316,0.02,0.3304,1.8077,0.372925,0.0392,17200,0.31,0.12,0.18,0.15
