policy,drop_rate_mean,drop_rate_std,success_rate_mean,throughput_mean,avg_lat_mean,avg_lat_std,avg_eng_mean,avg_eng_std,resource_util_mean,jfi_mean,jfi_std,imbalance_mean,imbalance_std,n_seeds
DRL-LSTM-LBRO,0.0077,0.0053,0.9923,198.47,0.2546,0.0081,1.8929,0.0352,0.1157,0.6759,0.0463,0.1703,0.0124,3
Ablation: no LSTM,0.0381,0.0309,0.9619,192.38,0.3131,0.0322,1.8294,0.0712,0.1182,0.6903,0.0699,0.143,0.0148,3
LBRO [Nayyer 2022],0.0123,0.0038,0.9877,197.54,0.327,0.0044,1.892,0.0385,0.1291,0.9972,0.0017,0.0466,0.0041,3
DeepRM [Mao 2016],0.0127,0.0038,0.9873,197.46,0.3238,0.0044,1.889,0.0384,0.1282,0.9949,0.003,0.0514,0.0039,3
DRL-EdgeLB [Liu 22],0.0138,0.0049,0.9862,197.24,0.3326,0.0049,1.8878,0.0382,0.1311,0.9952,0.0018,0.0367,0.0042,3
MADRL-MEC [Zhao 22],0.013,0.004,0.987,197.4,0.3237,0.0042,1.8893,0.0383,0.1283,0.9951,0.0027,0.0511,0.0041,3
Pred-LB [2025],0.0152,0.0057,0.9848,196.96,0.3313,0.0053,1.8839,0.0399,0.1304,0.9969,0.0014,0.0392,0.0051,3
PPO [Schulman 2017],,,,,,,,,,,,,,3
